metricId;crawlJobId;organizationId;sourceId;dimensions;rawValue;rawLast;avg3d;avg7d;avg15d;avg30d;stddev7d;stddev30d
19;25218;181;436;;3;3;3;2.4285714285714284;2.2;2.103448275862069;0.4948716593053935;0.3045434781492361
9;25218;181;436;;0;0;0;0;0;0;0;0
20;25218;181;436;;3.7;3.7;3.7000000000000006;1.5857142857142859;0.7400000000000001;0.3827586206896552;1.8310251394299562;1.1268108691521737
8;25218;181;436;;0;0;0;0;0;0;0;0
14;25194;158;346;;0.11645838872640256;0.09502475831171893;0.11155600182280762;0.17054480262488067;0.19105219235855034;0.21587009535369367;0.05935152806279612;0.11190874138375902
19;25217;181;434;;2;2;2;2;2;2;0;0
10;25194;158;346;;0.8832757245413454;0.9047394482433389;0.8872987254628802;0.8276724374175387;0.8065687354083217;0.7806068627539988;0.06031742133792015;0.11637858603638335
11;25194;158;346;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE_PROXY_MODE"", ""spider_name"": ""pdp_galco_com""}";1.024425268173218;1.030242204666138;1.0936311086018884;1.3697027478899275;2.058216094970703;2.6728269126680164;0.2543154750044982;3.175167798144627
3;25217;181;434;;54;54;54;54;54;53.89655172413793;0;0.3045434781492361
15;25218;181;436;;0;;;;;;;
18;25217;181;434;;79.63;79.63;79.50333333333333;79.57571428571428;79.60466666666666;80.28137931034482;0.13297230032251378;0.8960977630544863
9;25217;181;434;;0;0;0;0;0;0;0;0
20;25217;181;434;;20.37;18.52;18.006666666666664;19.357142857142858;16.564;13.822413793103449;1.603609449119742;4.9173434481837806
8;25217;181;434;;0;0;0;0;0;0;0;0
15;25217;181;434;;0;;;;;;;
7;25217;181;434;;0;0;0;0;0;0;0;0
5;25215;168;385;;0;0;0;0;0;0;0;0
21;25215;168;385;;0;;;;;;;
4;25215;168;385;;61;60;61.333333333333336;61.57142857142857;67.33333333333333;96.11111111111111;0.7284313590846836;41.08107010519144
29;25215;168;385;;0;0;0;0;0;0;0;0
27;25215;168;385;;0;0;0;0;0;0;0;0
31;25215;168;385;;0;0;0;0;0;0;0;0
26;25215;168;385;;0;0;0;0;0;0;0;0
2;25215;168;385;;46;46;47.666666666666664;49.42857142857143;54.93333333333333;79.22222222222223;2.1285234893930487;34.113463545376455
32;25215;168;385;;0;0;0;0;0;0;0;0
28;25215;168;385;;0;0;0;0;0;0;0;0
30;25215;168;385;;0;0;0;0;0;0;0;0
12;25215;168;385;;0;0;0;0;0;0;0;0
11;25194;158;346;"{""percentile"": ""p50"", ""proxy_name"": ""ZYTE"", ""spider_name"": ""plp_galco_com""}";19.73861598968506;28.14861011505127;32.04014786084493;32.68398659569876;34.59697523117065;34.260378970040215;3.4947120742046045;4.248467082385574
3;25224;181;431;;37;37;36.666666666666664;36.285714285714285;35.8;36.06896551724138;0.45175395145262565;5.741146314004803
